
Thu,Mar,25,02:59:30,2021, 44.0, 47.0,1000.0
Thu,Mar,25,02:59:32,2021, -9.0, 47.0, 979.0
Thu,Mar,25,02:59:34,2021, 49.0, 84.0,1011.0
Thu,Mar,25,02:59:36,2021, 12.0, 11.0, 981.0
Thu,Mar,25,03:02:17,2021, -4.0, 60.0, 986.0
Thu,Mar,25,03:02:19,2021, 16.0,  6.0,1010.0
Thu,Mar,25,03:02:21,2021, 15.0, 32.0, 978.0
Thu,Mar,25,03:03:07,2021, -3.0, 28.0, 985.0
Thu,Mar,25,03:03:09,2021, 49.0, 15.0, 995.0
Thu,Mar,25,03:11:18,2021, 35.0, 45.0, 993.0
Thu,Mar,25,03:11:20,2021, 36.0, 34.0,1001.0
Thu,Mar,25,03:11:22,2021, 16.0, 28.0, 991.0
Thu,Mar,25,03:11:24,2021, 45.0, 44.0, 996.0
